p0_hero,p1_hero,p2_hero,p3_hero,p4_hero,p5_hero,p6_hero,p7_hero,p8_hero,p9_hero,radiant_win
66,53,80,29,40,10,58,21,17,16,FALSE
74,66,16,11,55,53,78,80,21,52,TRUE
40,34,21,53,66,55,81,33,10,86,TRUE
66,17,77,78,40,79,53,34,21,58,TRUE
79,80,86,55,58,18,53,92,10,25,FALSE
74,61,33,40,60,17,52,86,34,16,TRUE
20,29,68,34,61,78,40,38,80,79,FALSE
52,89,11,53,16,86,40,55,17,33,TRUE
74,40,33,14,55,52,10,19,38,86,TRUE
79,74,80,55,66,77,40,16,17,52,FALSE
55,1,86,40,33,27,53,52,63,78,TRUE
91,55,68,63,7,29,56,86,52,53,FALSE
55,56,86,14,40,58,52,1,39,62,TRUE
10,66,16,39,55,74,7,21,40,80,TRUE
40,9,27,58,61,86,17,80,16,5,FALSE
10,53,78,27,86,45,52,87,61,80,TRUE
17,80,40,81,86,55,10,39,7,27,FALSE
58,87,16,74,80,40,10,86,21,61,FALSE
58,40,60,52,77,10,5,7,74,21,FALSE
33,60,39,79,55,77,40,17,86,16,FALSE
38,10,89,86,40,39,76,52,74,16,TRUE
33,10,53,27,78,60,16,39,52,80,FALSE
58,80,34,38,79,29,10,86,62,66,FALSE
87,46,80,29,86,58,10,40,62,74,FALSE
66,1,74,40,29,52,62,86,21,33,FALSE
58,10,86,29,46,40,21,32,74,66,FALSE
40,34,48,53,58,66,10,74,33,29,TRUE
58,78,5,10,74,66,46,49,29,40,FALSE
66,81,39,21,91,58,52,23,79,86,FALSE
78,52,53,33,34,66,17,80,16,5,TRUE
89,5,17,62,16,55,52,43,29,79,TRUE
66,80,17,39,7,33,52,81,68,53,TRUE
21,80,58,74,16,1,27,34,66,86,FALSE
7,16,86,34,61,78,40,21,62,52,FALSE
38,10,74,16,40,33,91,86,78,81,TRUE
58,62,86,53,52,66,13,80,74,27,FALSE
33,40,8,74,80,39,10,86,81,52,FALSE
89,74,33,79,21,81,78,90,52,25,FALSE
53,40,29,74,80,79,81,52,21,86,TRUE
33,53,80,39,27,66,10,21,86,29,FALSE
29,86,10,53,58,74,90,80,19,91,TRUE
52,56,14,55,40,92,53,10,29,20,TRUE
66,39,52,27,29,21,10,16,74,31,TRUE
78,40,81,62,52,58,60,39,80,86,TRUE
9,53,80,29,20,16,17,74,62,40,TRUE
86,20,16,10,61,78,40,80,38,52,FALSE
17,77,38,40,74,10,52,79,39,78,TRUE
29,19,39,55,91,40,10,78,53,66,TRUE
81,25,53,55,34,78,10,74,68,40,FALSE
10,52,21,66,29,79,80,40,74,46,TRUE
53,80,58,78,33,66,40,21,77,81,FALSE
58,52,74,27,38,66,40,61,65,10,FALSE
20,77,86,17,21,34,27,80,53,38,TRUE
27,80,62,86,58,66,74,44,29,40,TRUE
58,90,40,17,77,49,53,66,63,29,TRUE
92,53,17,29,40,52,80,78,13,58,FALSE
58,52,86,55,29,40,53,1,74,66,TRUE
66,62,27,39,49,58,10,86,40,29,FALSE
77,16,39,21,52,29,40,53,10,17,TRUE
25,53,81,62,74,33,16,21,61,52,TRUE
77,62,16,39,86,53,52,34,21,29,TRUE
58,52,53,34,60,66,10,17,16,79,FALSE
1,27,21,74,86,79,53,29,10,28,TRUE
55,80,7,27,74,78,21,79,86,10,TRUE
34,38,77,29,86,74,33,81,55,87,TRUE
17,40,55,79,34,53,10,74,5,16,FALSE
55,1,31,16,33,10,50,20,21,74,FALSE
66,34,53,29,79,33,40,21,78,80,TRUE
10,66,61,17,29,1,55,2,74,87,FALSE
40,48,53,34,16,58,8,86,61,90,TRUE
66,31,10,62,74,78,25,40,46,80,FALSE
16,21,77,29,40,58,80,38,52,78,FALSE
53,10,74,21,5,66,39,52,16,29,FALSE
56,33,29,55,40,16,80,74,52,86,FALSE
58,53,49,52,79,9,27,80,38,40,FALSE
66,79,39,29,10,16,86,21,1,74,TRUE
66,10,74,27,65,38,56,39,61,29,TRUE
52,62,33,10,86,66,53,43,55,29,TRUE
55,80,39,86,33,78,40,10,29,52,TRUE
53,29,89,40,74,52,81,90,46,91,FALSE
80,27,16,74,21,66,20,60,61,17,TRUE
81,58,52,80,21,38,74,16,86,1,FALSE
16,79,74,62,10,40,1,27,53,61,TRUE
66,52,34,40,53,80,27,58,62,74,FALSE
91,29,14,61,52,66,81,16,74,68,TRUE
40,53,34,48,58,66,10,81,25,29,TRUE
5,77,19,39,21,33,3,74,29,10,FALSE
27,89,74,29,33,52,1,13,55,40,FALSE
58,53,19,29,40,38,52,87,81,80,TRUE
66,10,74,30,65,40,80,13,62,58,FALSE
66,29,10,81,86,58,38,76,52,78,TRUE
53,74,33,27,81,86,17,20,14,61,TRUE
29,25,74,79,80,58,86,49,78,40,FALSE
27,10,17,29,66,79,78,19,53,91,FALSE
81,62,58,34,52,20,53,11,66,61,TRUE
33,14,39,29,53,38,1,40,86,74,FALSE
66,5,16,62,10,61,74,31,80,40,TRUE
25,89,91,14,19,52,81,92,13,90,FALSE
10,29,58,74,21,60,66,80,38,52,TRUE
33,16,60,77,68,52,91,90,74,19,FALSE
33,61,17,78,86,66,40,16,34,80,TRUE
1,5,52,16,55,80,27,74,66,21,FALSE
66,1,14,33,40,62,10,16,52,31,TRUE
16,68,53,81,74,56,60,46,40,52,FALSE
78,79,86,62,23,52,81,60,80,16,FALSE
77,21,16,39,86,53,81,17,55,27,FALSE
29,86,80,38,52,58,81,34,40,78,TRUE
90,19,86,21,91,66,40,17,81,52,FALSE
58,10,74,27,65,66,46,80,21,31,FALSE
46,53,40,10,52,86,29,80,74,62,TRUE
55,78,16,27,10,79,1,52,58,21,TRUE
33,79,90,74,80,10,86,38,39,16,TRUE
86,53,52,17,16,74,38,58,73,40,TRUE
27,1,86,33,61,53,10,16,79,29,FALSE
78,58,40,62,74,66,5,16,86,10,FALSE
86,53,80,38,5,58,8,27,61,52,TRUE
29,46,55,19,58,86,21,34,39,66,TRUE
66,1,13,55,52,53,40,61,86,39,TRUE
66,39,38,1,40,79,46,21,86,53,FALSE
46,60,71,40,52,66,74,19,29,20,FALSE
40,62,16,80,53,52,61,60,39,86,FALSE
66,86,27,39,89,33,44,13,52,55,FALSE
66,61,52,16,29,79,17,58,10,74,TRUE
29,1,74,27,86,79,23,60,52,53,TRUE
58,39,21,86,74,38,52,87,81,10,FALSE
66,74,89,38,86,34,81,90,39,25,TRUE
74,39,68,10,40,52,46,19,29,31,TRUE
74,62,68,10,29,9,53,1,38,40,TRUE
40,10,46,55,29,66,52,74,90,80,TRUE
33,5,29,86,10,52,80,74,62,16,TRUE
52,5,74,62,10,40,48,60,29,86,FALSE
48,66,40,34,21,29,1,39,61,52,FALSE
77,16,13,33,52,10,7,53,21,45,FALSE
89,50,40,78,33,77,1,86,38,52,FALSE
74,52,10,29,27,21,39,80,33,40,TRUE
27,10,86,21,29,58,78,62,19,91,FALSE
55,16,27,74,1,33,29,10,9,79,TRUE
66,81,52,21,91,58,74,29,19,86,TRUE
74,40,27,48,29,66,10,52,79,38,FALSE
68,81,10,29,86,66,78,80,38,20,TRUE
33,40,25,10,89,58,52,34,29,81,TRUE
66,16,43,55,79,1,40,86,52,46,FALSE
53,10,81,33,68,48,38,52,29,27,TRUE
77,28,79,46,52,53,80,81,40,25,FALSE
27,10,61,60,86,66,1,39,29,40,TRUE
58,8,86,33,27,29,89,13,55,25,TRUE
40,48,34,55,58,66,1,39,33,52,FALSE
66,10,61,40,74,27,78,19,29,91,FALSE
33,52,40,65,10,80,29,58,74,38,FALSE
66,33,89,40,17,27,10,61,81,52,FALSE
1,29,46,86,55,74,80,79,10,16,TRUE
79,39,10,81,66,1,5,29,21,74,FALSE
10,66,20,74,38,33,39,80,62,27,FALSE
29,52,46,55,58,80,40,27,74,21,TRUE
55,89,49,52,40,90,1,86,38,27,TRUE
77,8,86,33,27,38,89,52,68,49,TRUE
55,89,40,29,39,58,41,86,38,52,FALSE
33,86,78,80,27,38,10,74,16,52,TRUE
38,1,74,26,40,5,10,61,52,29,TRUE
33,10,86,52,81,29,1,74,21,31,FALSE
66,89,39,55,27,52,61,46,60,86,FALSE
25,61,46,60,86,66,89,49,55,52,FALSE
86,89,49,53,27,87,80,39,55,33,FALSE
90,46,89,55,29,88,8,86,80,52,TRUE
40,39,89,29,33,52,48,46,38,87,TRUE
16,1,80,33,5,58,40,53,39,89,FALSE
33,60,80,86,27,58,29,53,28,10,FALSE
43,53,85,40,66,52,74,81,21,91,FALSE
25,21,60,40,53,58,16,10,80,52,FALSE
66,46,86,40,19,74,1,68,7,53,TRUE
52,81,46,21,91,53,58,87,86,85,TRUE
10,52,53,79,16,66,1,86,78,87,FALSE
66,38,79,32,86,31,52,1,74,27,TRUE
86,61,10,29,27,66,26,53,1,39,FALSE
86,41,78,40,21,62,31,46,58,80,TRUE
74,40,68,89,33,66,86,38,39,8,FALSE
66,86,61,16,46,87,40,74,1,21,TRUE
53,81,46,55,87,21,40,10,49,33,TRUE
21,10,33,29,40,44,66,74,31,53,TRUE
66,74,21,86,46,27,59,77,40,58,TRUE
16,10,38,21,52,33,29,53,39,89,FALSE
66,52,86,81,21,33,87,74,89,27,TRUE
29,1,46,27,53,40,89,78,87,21,TRUE
29,89,65,21,33,52,10,46,20,81,TRUE
1,66,78,86,40,70,27,21,52,74,TRUE
10,66,46,53,27,1,52,40,62,74,TRUE
72,29,40,62,86,60,66,46,52,21,FALSE
48,66,46,29,52,89,33,27,62,40,TRUE
11,52,33,49,29,10,91,80,66,81,TRUE
19,40,33,80,86,66,1,46,21,91,FALSE
10,5,53,66,8,74,29,80,58,87,FALSE
33,86,21,40,41,77,89,13,25,29,FALSE
66,81,57,52,49,33,29,77,5,28,TRUE
11,40,66,49,29,7,78,68,86,10,TRUE
29,86,21,40,1,74,62,49,27,79,TRUE
39,10,29,86,5,1,33,87,38,74,TRUE
29,39,40,86,71,91,1,46,27,62,FALSE
40,89,74,87,29,58,86,55,41,39,FALSE
86,52,49,21,33,66,78,13,8,40,FALSE
58,89,10,52,33,27,1,86,87,55,TRUE
66,78,52,8,40,17,81,55,25,33,TRUE
10,65,52,62,66,46,5,56,21,7,TRUE
90,89,46,86,33,66,78,52,8,40,TRUE
74,1,38,79,86,58,81,10,53,91,FALSE
89,66,46,21,87,45,33,48,29,79,FALSE
21,32,29,86,40,53,1,46,31,38,TRUE
49,81,91,29,55,23,79,10,53,52,TRUE
86,40,46,10,33,11,52,29,49,53,TRUE
